"person","givenName","surname"
"http://dbpedia.org/resource/Donald_W._Parry","Donald W.","Parry"
"http://dbpedia.org/resource/Elisa_Albert","Elisa","Albert"
"http://dbpedia.org/resource/John_Smolenski","John","Smolenski"
"http://dbpedia.org/resource/Rosanne_Kohake","Rosanne","Kohake"
"http://dbpedia.org/resource/Henry_Wilson_Allen","Henry Wilson","Allen"
"http://dbpedia.org/resource/Joel_Sayre","Joel","Sayre"
"http://dbpedia.org/resource/Shirlee_Busbee","Shirlee","Busbee"
"http://dbpedia.org/resource/Tony_Daniel_(science_fiction_writer)","Tony","Daniel"
"http://dbpedia.org/resource/Tom_E._Huff","Tom E.","Huff"
"http://dbpedia.org/resource/Gregg_Olsen","Gregg","Olsen"
"http://dbpedia.org/resource/Kate_Hoffmann","Kate","Hoffmann"
"http://dbpedia.org/resource/Teresa_Southwick","Teresa","Southwick"
"http://dbpedia.org/resource/Norman_L._Richardson","Norman Lee","Richardson"
"http://dbpedia.org/resource/Glenn_Kurtz","Glenn","Kurtz"
"http://dbpedia.org/resource/Barry_Michael_Harman","Barry Michael","Harman"
"http://dbpedia.org/resource/Marc_Edward_Heuck","Marc Edward","Heuck"
"http://dbpedia.org/resource/Nathan_Daboll","Nathan","Daboll"
"http://dbpedia.org/resource/Greg_Hall_(poet)","Greg","Hall"
"http://dbpedia.org/resource/John_Coy","John","Coy"
"http://dbpedia.org/resource/John_Asimakopoulos","John","Asimakopoulos"
"http://dbpedia.org/resource/Bertha_Adkins","Bertha","Adkins"
"http://dbpedia.org/resource/Kaza_Kingsley","Kaza","Kingsley"
"http://dbpedia.org/resource/Henry_A._Bamman","Henry A.","Bamman"
"http://dbpedia.org/resource/Erin_Cressida_Wilson","Erin Cressida","Wilson"
"http://dbpedia.org/resource/Kathryn_Wallace","Kathryn","Wallace"
"http://dbpedia.org/resource/Remo_Bosia","Remo","Bosia"
"http://dbpedia.org/resource/Joan_Howard_Maurer","Joan Howard","Maurer"
"http://dbpedia.org/resource/Robert_Shallcross","Robert","Shallcross"
"http://dbpedia.org/resource/Allen_Grossman","Allen","Grossman"
"http://dbpedia.org/resource/Ellen_Tarry","Ellen","Tarry"
"http://dbpedia.org/resource/Brenda_Hillman","Brenda","Hillman"
"http://dbpedia.org/resource/Carolyn_Zane","Carolyn","Zane"
"http://dbpedia.org/resource/Robert_Gordon_(screenwriter)","Robert","Gordon"
"http://dbpedia.org/resource/Eli_Todd_Tappan","Eli Todd","Tappan"
"http://dbpedia.org/resource/Larry_Correia","Larry","Correia"
"http://dbpedia.org/resource/David_Paton_(ophthalmologist)","David","Paton"
"http://dbpedia.org/resource/Elizabeth_Neff_Walker","Elizabeth","Walker"
"http://dbpedia.org/resource/Greg_Miller_(poet)","David Gregory","Miller"
"http://dbpedia.org/resource/Henry_Hardy_Heins","Henry Hardy","Heins"
"http://dbpedia.org/resource/Joseph_Opala","Joseph","Opala"
