prenom,nom,titre_livre,nbpages,isbn,publisher_name
Robin,McKinley,Chalice (novel),272,978-0-399-24676-0,G. P. Putnam's Sons
Robin,McKinley,The Blue Sword,320,978-0-688-00938-0,HarperCollins
Robin,McKinley,The Hero and the Crown,227,0-441-32809-1,HarperCollins
Robin,McKinley,Rose Daughter,320,0-688-15439-5,HarperCollins
Robin,McKinley,Dragonhaven,352,978-0-399-24675-3,Penguin Group
Robin,McKinley,Deerskin (novel),309,0-441-14226-5,Ace Books
Robin,McKinley,Spindle's End,400,0-399-23466-7,G. P. Putnam's Sons
Lisa,McMann,Wake (McMann novel),325,1-4169-7447-4,Simon & Schuster
James M.,McPherson,Battle Cry of Freedom (book),904,978-0195038637,Oxford University Press
Mike,McQuay,Richter 10,446,0-575-60110-8,Victor Gollancz Ltd
Jon,Meacham,American Lion (book),512,1-4000-6325-6,Random House
Richelle,Mead,Spirit Bound,489,978-1-59514-250-4,Penguin Group
Richelle,Mead,The Golden Lily (Mead novel),400,978-1-59514-318-1,Razorbill
Richelle,Mead,Last Sacrifice,594,978-1-59514-306-8,Penguin Group
Richelle,Mead,Bloodlines (Mead novel),421,978-1-59514-317-4,Penguin Group
Richelle,Mead,Shadow Kiss,448,978-1-59514-197-2,Penguin Group
Richelle,Mead,Blood Promise (novel),503,978-1-59514-198-9,Penguin Group
Richelle,Mead,The Fiery Heart,420,978-1-59514-320-4,Razorbill
Richelle,Mead,Frostbite (Mead novel),336,978-1-59514-175-0,Penguin Group
Scott,Mebus,Gods of Manhattan,272,ISBN 978-0-525-47955-0,Dutton Penguin
Hemant,Mehta,I Sold My Soul on eBay,224,1-4000-7347-2,Random House
Richard,Melo,Jokerman 8,280,978-1-932360-34-9,Soft Skull Press
Judith,Merril,SF: The Year's Greatest Science Fiction and Fantasy,352,NA,Gnome Press
Judith,Merril,SF '57: The Year's Greatest Science Fiction and Fantasy,320,NA,Gnome Press
Judith,Merril,SF '58: The Year's Greatest Science Fiction and Fantasy,255,NA,Gnome Press
Judith,Merril,SF '59: The Year's Greatest Science Fiction and Fantasy,256,NA,Gnome Press
Barbara,Mertz,The Deeds of the Disturber,289,0-689-11907-0,Simon & Schuster
Barbara,Mertz,Amelia Peabody's Egypt,334,ISBN 0-06-053811-2,William Morrow and Company
Barbara,Mertz,Children of the Storm,400,0-06-621476-9,William Morrow and Company
Barbara,Mertz,Guardian of the Horizon,399,0-06-621471-8,William Morrow and Company
Barbara,Mertz,He Shall Thunder in the Sky,400,0-380-97659-5,William Morrow and Company
Barbara,Mertz,Lord of the Silent,400,0-380-97884-9,William Morrow and Company
Barbara,Mertz,Lion in the Valley,291,ISBN 0-689-11619-5 (paperback edition),Atheneum Books
Barbara,Mertz,Seeing a Large Cat,386,0-446-51834-4,Grand Central Publishing
Barbara,Mertz,The Ape Who Guards the Balance,376,0-380-97657-9,Avon (publisher)
Barbara,Mertz,The Hippopotamus Pool,384,0-446-51833-6,Grand Central Publishing
Barbara,Mertz,The Last Camel Died at Noon,352,0-446-51483-7,Grand Central Publishing
Barbara,Mertz,The Mummy Case,313,"ISBN 0-86553-140-4 (Congdon & Weed), 0312925476 (St. Martin's Press)",Thomas Congdon
Barbara,Mertz,The Falcon at the Portal,366,0-380-97658-7,Avon (publisher)
Barbara,Mertz,"The Snake, the Crocodile, and the Dog",340,ISBN 0-446-51585-X,Grand Central Publishing
Barbara,Mertz,The Serpent on the Crown,350,0-06-059178-1,HarperCollins
Barbara,Mertz,Tomb of the Golden Bird,381,0-06-059180-3,HarperCollins
Barbara,Mertz,The Curse of the Pharaohs (novel),357,0-396-07963-6,"Dodd, Mead and Company"
Barbara,Mertz,Wings of the Falcon,314,0-396-07458-8,"Dodd, Mead and Company"
Carolyn,Meyer,Cleopatra Confesses,291,978-1416987284,Simon & Schuster
Philipp,Meyer,American Rust,367,978-0-385-52751-4,Spiegel & Grau
Stephenie,Meyer,Eclipse (Meyer novel),629,978-0-316-16020-9,"Little, Brown and Company"
Stephenie,Meyer,New Moon (novel),563,0-316-16019-9,"Little, Brown and Company"
Stephenie,Meyer,The Short Second Life of Bree Tanner,178,ISBN 1-907410-36-8,"Little, Brown and Company"
Stephenie,Meyer,The Host (novel),809,0-316-06804-7,"Little, Brown and Company"
Stephenie,Meyer,Breaking Dawn,756,ISBN 0-316-06792-X,"Little, Brown and Company"
Stephenie,Meyer,The Twilight Saga: The Official Illustrated Guide,576,978-0-316-04312-0,"Little, Brown and Company"
James A.,Michener,Alaska (novel),868,0-394-55154-0,Random House
James A.,Michener,Centennial (novel),909,0-394-47970-X,Random House
James A.,Michener,Space (novel),622,0-394-50555-7,Random House
James A.,Michener,The Bridges at Toko-Ri (novel),147,0-394-41780-1 / 0-394-41780-1,Random House
James A.,Michener,The Bridge at Andau,270,0-394-41778-X,Random House
James A.,Michener,Caravans (novel),341,0-394-41849-2,Random House
James A.,Michener,Mexico (novel),625,0-679-41649-8,Random House
James A.,Michener,Poland (novel),556,0-394-53189-2,Random House
James A.,Michener,Texas (novel),1096,0-394-54154-5,Random House
James A.,Michener,The Covenant (novel),879,0-394-50505-0,Random House
James A.,Michener,Chesapeake (novel),865,0-394-50079-2,Random House
James A.,Michener,The Fires of Spring,495,1-4990-7709-2,Random House
James A.,Michener,The Drifters (novel),751,0-394-46200-9,Random House
James A.,Michener,Matecumbe (novel),165,0-8130-3152-4,University Press of Florida
James A.,Michener,The World Is My Home,528,978-0-8129-7813-1,Random House
James A.,Michener,Recessional (novel),484,0-679-43612-X,Random House
James A.,Michener,Legacy (Michener novel),176,0-394-56432-4,Random House
James A.,Michener,Caribbean (novel),672,0-394-56561-4,Random House
James A.,Michener,The Novel,446,0-679-40133-4,Random House
James A.,Michener,Iberia (book),818,0-394-42982-6,Random House
James A.,Michener,Journey (novel),224,0-394-57826-0,Random House
James A.,Michener,The Watermen,193,ISBN 0-394-50660-X,Random House
James A.,Michener,Miracle in Seville,107,0-679-41822-9,Random House
Sarah,Micklem,Firethorn (novel),400,"ISBN 0-7432-4794-9 (first edition, hardback)",Charles Scribner's Sons
Caroline Adams,Miller,My Name Is Caroline,278,0-385-24208-5,Doubleday (publisher)
P. Schuyler,Miller,The Titan (collection),252,NA,Fantasy Press
P. Schuyler,Miller,Genus Homo (novel),225,NA,Fantasy Press
Serena B.,Miller,"Love Finds You in Sugarcreek, Ohio (novel)",320,978-1609360023,Guideposts
Steven,Millhauser,Edwin Mullhouse,305,0-394-48009-0,Alfred A. Knopf
Steven,Millhauser,The Barnum Museum,237,978-0-671-68640-6,Poseidon Press
Jacquelyn,Mitchard,The Deep End of the Ocean,434,ISBN 0-670-86579-6 (hardback edition) & ISBN 0-00-649909-0 (paperback edition),Allen Lane
Joseph,Mitchell,Joe Gould's Secret,208,0-375-70804-9,Vintage Books
Margaret Munnerlyn,Mitchell,Lost Laysen,127,0-684-82428-0,Charles Scribner's Sons
Sarah,Monette,Mélusine (novel),432,0-441-01286-8,Ace Books
Sarah,Monette,The Virtu,448,0-441-01404-6,Ace Books
Sarah,Monette,The Mirador (novel),432,0-441-01500-X,Ace Books
Karen Marie,Moning,Darkfever,309,978-0385339155,Dell Publishing
Rick,Moody,The Ice Storm,279,0-316-57921-1,"Little, Brown and Company"
Rick,Moody,Garden State (novel),224,"ISBN 0-916366-73-1 (first edition, hardback)",Pushcart Press
Elizabeth,Moon,Sassinak,333,0-671-69863-X,Baen Books
Elizabeth,Moon,Hunting Party (novel),364,ISBN 0-671-72176-3 (Dec. 1995),Baen Books
Elizabeth,Moon,Rules of Engagement (Elizabeth Moon novel),497,ISBN 0-671-57841-3 (paperback),Baen Books
Elizabeth,Moon,Generation Warriors,345,0-671-72041-4,Baen Books
Elizabeth,Moon,Change of Command,436,ISBN 0-671-31963-9 (December 2000 edition),Baen Books
Elizabeth,Moon,Once a Hero (novel),400,0-671-87871-9,Baen Books
Elizabeth,Moon,Sporting Chance,383,0-671-87619-8,Baen Books
Elizabeth,Moon,Against the Odds (novel),529,ISBN 978-0-671-31850-5,Baen Books
Elizabeth,Moon,Remnant Population,339,0-671-87718-6,Baen Books
Chris,Mooney,Unscientific America,224,ISBN 978-0-465-01305-0,Basic Books
Chris,Mooney,The Republican Brain,327,9781118094518,John Wiley & Sons
C. L.,Moore,Northwest of Earth,212,NA,Gnome Press
C. L.,Moore,Shambleau and Others,224,NA,Gnome Press
C. L.,Moore,Scarlet Dream,328,0-937986-42-9,"Donald M. Grant, Publisher"
C. L.,Moore,Black God's Shadow,252,NA,"Donald M. Grant, Publisher"
C. L.,Moore,Judgment Night (collection),344,NA,Gnome Press
Christopher,Moore,Fool (novel),336,ISBN 978-0-06-059031-4,William Morrow and Company
Christopher,Moore,Bloodsucking Fiends,304,0-684-81097-2,Simon & Schuster
Christopher,Moore,Coyote Blue,304,0-06-073543-0,Simon & Schuster
Christopher,Moore,"Fluke, or, I Know Why the Winged Whale Sings",336,0-380-97841-5,William Morrow and Company
Christopher,Moore,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",464,0-380-81381-5,William Morrow and Company
Christopher,Moore,Island of the Sequined Love Nun,325,0-06-073544-9,Avon (publisher)
Christopher,Moore,The Stupidest Angel,288,0-06-084235-0,William Morrow and Company
Kelly,Moore,Neverwas (novel),320,0-545-43418-1,Arthur A. Levine Books
Kelly,Moore,Amber House (novel),368,0-545-43416-5,Arthur A. Levine Books
Ward,Moore,Bring the Jubilee,243,978-0-345-40502-9,Ballantine Books
Daniel Keys,Moran,Tales of the Bounty Hunters,400,ISBN 0-553-56816-7,Bantam Spectra
Daniel Keys,Moran,Tales from Jabba's Palace,464,ISBN 0-553-56815-9,Bantam Spectra
Daniel Keys,Moran,Tales from the Mos Eisley Cantina,400,ISBN 0-553-56468-4,Bantam Spectra
Toni,Morrison,Jazz (novel),229,0-679-41167-4,Alfred A. Knopf
Toni,Morrison,Desdemona (play),64,ISBN 978-1-849-43389-1 (Paperback edition),Oberon Books
Toni,Morrison,Love (Morrison novel),208,978-0-375-40944-8,Alfred A. Knopf
Toni,Morrison,Beloved (novel),324,1-58060-120-0,Alfred A. Knopf
Toni,Morrison,Paradise (novel),318,ISBN 0-679-43374-0 (hardback edition) & ISBN 0-452-28039-7,Alfred A. Knopf
Toni,Morrison,Song of Solomon (novel),337,0-452-26011-6,Alfred A. Knopf
Toni,Morrison,Sula (novel),192,ISBN 0-394-48044-9 (hardback edition),Alfred A. Knopf
Toni,Morrison,Tar Baby (novel),320,0-394-42329-1,Alfred A. Knopf
Toni,Morrison,A Mercy,176,ISBN 978-0-307-26423-7,Alfred A. Knopf
Toni,Morrison,Home (Morrison novel),145,978-0-307-59416-7,Alfred A. Knopf
Toni,Morrison,The Bluest Eye,224,ISBN 978-0-375-41155-7 (Hardcover edition),Holt McDougal
James,Morrow,Only Begotten Daughter,312,0-688-05284-3,William Morrow and Company
Sam,Moskowitz,Seekers of Tomorrow,441,NA,Omaha World-Herald
Sam,Moskowitz,Masterpieces of Science Fiction,552,NA,Omaha World-Herald
Sam,Moskowitz,History of the Movement From 1854 to 1890,255,NA,"Donald M. Grant, Publisher"
Sam,Moskowitz,Modern Masterpieces of Science Fiction,518,NA,Omaha World-Herald
Sam,Moskowitz,Explorers of the Infinite,353,NA,Omaha World-Herald
Stanley,Mullen,Kinsmen of the Dragon,336,NA,Shasta Publishers
Thomas,Mullen,The Last Town on Earth,392,978-1-4000-6520-2,Random House
H. Warner,Munn,The Banner of Joan,127,NA,"Donald M. Grant, Publisher"
H. Warner,Munn,Merlin's Ring,366,0-345-24010-3,Ballantine Books
Robert,Munsch,The Paper Bag Princess,32,0-920236-16-2,Annick Press
Gary,Myers,The House of the Worm,77,0-87054-071-8,Arkham House
Walter Dean,Myers,Fallen Angels (Myers novel),320,0-590-40942-5,Scholastic Corporation
Walter Dean,Myers,Monster (Myers novel),281,ISBN 0-06-440731-4,HarperCollins
Vicki,Myron,Dewey: The Small-Town Library Cat Who Touched the World,304,ISBN 978-0-446-40741-0,Hachette Book Group
Barbara,Neely,Blanche on the Lam,180,0-312-06908-1,St. Martin's Press
Andrew,Neiderman,The Baby Squad,374,ISBN 0-7434-1270-2 (paperback edition),Pocket Books
Emily,Neville,"It's Like This, Cat",181,0-06-024390-2,Harper (publisher)
Audrey,Niffenegger,Her Fearful Symmetry,304,978-0-224-08562-5,Random House
Douglas,Niles,Fox on the Rhine,546,0-8125-7466-4,Tor Books
Douglas,Niles,Darkwalker on Moonshae,380,0-88038-451-4,TSR (company)
Douglas,Niles,Dungeoneer's Survival Guide,128,0880382724,TSR (company)
Douglas,Niles,War of the Worlds: New Millennium,332,"ISBN 0-7653-1142-9 (first edition, hardback)",Tor Books
Douglas,Niles,Fox at the Front,672,0-7653-4399-1,Tor Books
Adam,Niswander,The Sand Dwellers,263,1-878252-29-1,Fedogan & Bremer
Larry,Niven,Stars and Gods,365,978-0-765-30864-1,Tor Books
Larry,Niven,The Best of Larry Niven,618,978-1-59606-331-0,Subterranean Press
Larry,Niven,The Flight of the Horse,212,NA,Ballantine Books
Larry,Niven,The Flying Sorcerers,316,0-345-02331-5,Ballantine Books
Larry,Niven,Lucifer's Hammer,494,0-87223-487-8,Playboy
Larry,Niven,Tales of Known Space,240,0-345-24563-6,Ballantine Books
Larry,Niven,The Gripping Hand,401,0-671-79573-2,Pocket Books
Larry,Niven,The Mote in God's Eye,537,0-671-21833-6,Simon & Schuster
Larry,Niven,Rainbow Mars,316,0-312-86777-8,Tor Books
Larry,Niven,The Ringworld Throne,424,0-345-35861-9,Del Rey Books
Larry,Niven,Building Harlequin's Moon,400,"ISBN 0-7653-1266-2 (hardcover), ISBN 0-7653-5129-3 (paperback)",Tor Books
Larry,Niven,Burning Tower,448,0-7434-1691-0,Pocket Books
Larry,Niven,A World Out of Time,243,0-03-017776-6,Holt McDougal
Larry,Niven,Footfall,495,"ISBN 0-345-32347-5 (first edition, hardcover)",Del Rey Books
Larry,Niven,N-Space (short story collection),527,0-8125-1001-1,Tor Books
Larry,Niven,Juggler of Worlds,352,0765318261,Tor Books
Larry,Niven,The Legacy of Heorot,368,978-0-671-64094-1,Simon & Schuster
Larry,Niven,Ringworld's Children,288,0-7653-0167-9,Tor Books
Larry,Niven,The Smoke Ring (novel),302,0-345-30256-7,Del Rey Books
Larry,Niven,A Hole in Space,196,0-345-24011-1,Ballantine Books
Larry,Niven,The Integral Trees,240,0-345-31270-8,Del Rey Books
Larry,Niven,The Ringworld Engineers,355,0-932096-03-4,Phantasia Press
Larry,Niven,Inferno (Niven and Pournelle novel),237,0-671-80490-1,Pocket Books
Larry,Niven,Escape from Hell (novel),336,978-0-7653-1632-5,Tor Books
Larry,Niven,Fleet of Worlds,304,0-7653-1825-3,Tor Books
Larry,Niven,Betrayer of Worlds,320,0-7653-2608-6,Tor Books
Larry,Niven,Destroyer of Worlds (novel),368,0-7653-2205-6,Tor Books
Joan Lowery,Nixon,The Haunting (Nixon novel),192,0-385-32247-X,Dell Publishing
Philp Francis,Nolan,Buck Rogers: A Life in the Future,312,0-7869-0144-6,TSR (company)
William F.,Nolan,Logan's Run,133,NA,Dial Press
John,Norman,Time Slave,380,978-0-7592-9778-4,DAW Books
John,Norman,Ghost Dance (novel),342,978-0-7592-9774-6,Ballantine Books
Andre,Norton,Sargasso of Space,185,NA,Gnome Press
Andre,Norton,The Many Worlds of Andre Norton,208,0-8019-5927-6,Chilton Company
Andre,Norton,The Beast Master,192,0-15-206049-9 (edition?),Harcourt (publisher)
Andre,Norton,Grand Masters' Choice,221,0-915368-42-0,NESFA Press
Andre,Norton,Plague Ship,192,9780441062911,Gnome Press
Andre,Norton,Lore of the Witch World,223,0-87997-560-1,DAW Books
Andre,Norton,Magic in Ithkar 3,319,0-8125-4734-9,Tor Books
Andre,Norton,Magic in Ithkar 4,278,0-8125-4719-5,Tor Books
Andre,Norton,Witch World (novel),222,"(Gregg, 1977)",Ace Books
Andre,Norton,Magic in Ithkar 2,306,0-8125-4745-4,Tor Books
Andre,Norton,Spell of the Witch World,159,978-0-88677-242-0,DAW Books
Andre,Norton,Magic in Ithkar,317,0-8125-4740-3,Tor Books
Andre,Norton,Moon Mirror,199,0-312-93098-4,Tor Books
Andre,Norton,Wizards' Worlds,500,0-312-93191-3,Tor Books
Alan E.,Nourse,The Bladerunner,245,0-679-20289-7,David McKay Publications
Naomi,Novik,Victory of Eagles,352,ISBN 978-0-345-49688-1,HarperCollins
Naomi,Novik,Tongues of Serpents,288,ISBN 978-0-345-49689-8,HarperCollins
Naomi,Novik,Blood of Tyrants,431,ISBN 978-0345522894,HarperCollins
Naomi,Novik,His Majesty's Dragon,356,0-345-48128-3,Del Rey Books
Naomi,Novik,Crucible of Gold,336,ISBN 978-0345522863,HarperCollins
Alyson,Noël,Evermore (novel),320,ISBN 0-312-53275-X (US paperback edition),St. Martin's Press
Alyson,Noël,Radiance (book),192,ISBN 978-0-330-52691-3,Macmillan Publishers (United States)
Alyson,Noël,Blue Moon (Noël novel),304,0-312-53276-8,St. Martin's Press
Laura,Numeroff,If You Give a Mouse a Cookie,28,0060245867,Harper (publisher)
